sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,sc_51,sc_52,sc_53,sc_54,sc_55,sc_56,sc_57,sc_58,sc_59,sc_60,sc_61,sc_62,sc_63,pos_x,pos_y
0.00,13.00,10.44,8.25,7.07,7.62,7.81,9.90,12.04,11.40,12.81,13.89,13.42,13.93,13.60,12.37,11.18,9.06,7.07,6.08,4.47,3.61,3.16,4.00,5.10,5.39,6.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.22,10.77,12.08,13.89,15.81,15.81,17.20,16.40,16.40,14.21,13.45,12.04,9.22,8.94,9.22,10.05,11.05,13.15,16.12,18.11,19.00,20.02,20.22,19.42,18.68,17.09,1.0,3.0
0.00,13.04,10.82,8.49,7.21,7.07,9.00,10.05,12.04,12.00,13.04,14.14,14.32,13.60,13.00,12.08,11.66,8.94,8.06,5.83,4.12,4.00,3.61,5.00,5.83,6.32,7.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.94,10.20,12.04,13.00,15.00,16.03,17.03,17.03,16.12,15.13,14.04,12.17,10.20,9.85,8.60,10.00,10.82,12.53,16.12,17.00,18.87,20.00,19.85,19.80,19.21,17.20,1.0,3.0
0.00,12.04,10.63,7.81,7.62,7.07,8.06,9.22,11.40,11.18,12.17,13.04,13.04,13.15,13.34,12.65,11.70,9.85,8.54,7.28,6.08,4.00,4.12,3.61,4.47,5.39,6.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.06,11.00,12.04,14.14,14.14,15.13,15.30,15.30,14.32,12.37,11.70,9.85,8.60,8.49,9.43,9.85,11.70,13.60,15.81,17.46,18.79,19.72,19.42,19.21,17.69,16.97,1.0,3.0
0.00,12.00,10.05,7.28,6.71,6.40,8.06,9.85,11.18,11.66,13.60,13.45,13.45,12.81,12.21,11.18,9.85,7.62,5.83,5.00,3.61,4.00,5.10,5.39,6.71,7.21,7.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.28,8.60,9.90,11.40,13.04,13.89,15.26,15.26,15.26,13.89,12.53,11.18,9.85,8.25,8.00,8.25,9.85,11.66,14.76,16.55,17.46,18.97,18.68,19.24,18.11,16.00,1.0,3.0
0.00,14.76,11.18,8.54,5.00,5.00,5.83,9.49,11.40,11.70,13.93,15.65,15.26,15.81,15.62,14.87,13.45,10.63,9.22,7.07,5.00,3.61,2.24,2.24,4.00,6.08,7.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,7.21,9.85,11.70,13.60,15.30,16.28,16.28,16.28,15.13,13.15,11.05,9.00,7.28,5.66,6.71,8.06,11.05,15.03,17.03,19.10,20.22,21.59,20.88,20.25,18.38,1.0,3.0
0.00,14.04,11.05,8.00,4.12,3.16,6.08,8.54,11.70,12.65,14.14,15.03,16.00,15.03,15.13,14.32,12.37,9.49,8.25,6.08,3.00,2.24,3.00,4.47,6.40,7.81,9.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.21,9.22,11.05,14.00,15.03,17.26,18.25,18.44,17.46,16.49,15.52,13.60,10.44,8.06,6.40,6.32,8.06,9.49,13.93,16.16,18.97,20.88,21.59,21.21,21.10,20.00,1.0,3.0
0.00,17.00,13.89,10.00,6.40,5.00,7.21,10.00,13.45,13.45,15.81,17.49,17.89,17.46,17.72,16.49,15.30,11.05,10.05,7.07,4.12,2.24,2.24,3.61,5.39,7.62,9.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.08,8.94,10.82,14.21,16.28,17.69,19.10,19.21,19.21,18.44,16.40,14.42,10.82,8.54,7.00,7.62,9.90,12.81,17.20,18.60,22.02,23.43,24.04,24.84,24.21,23.02,1.0,3.0
0.00,15.81,12.81,9.43,6.32,5.00,5.83,7.81,10.00,10.63,12.73,13.45,14.21,14.42,14.76,14.32,13.00,10.44,9.22,7.28,5.39,2.24,2.00,2.83,4.47,5.39,6.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.40,7.62,10.20,12.04,14.00,15.00,17.03,17.03,17.03,16.03,15.03,14.04,11.18,9.22,8.06,7.81,8.54,10.20,13.15,16.28,18.25,19.65,20.88,21.54,21.02,19.72,1.0,3.0
0.00,15.30,12.37,8.25,6.00,3.61,5.39,8.06,10.05,11.05,12.37,13.60,13.93,14.32,13.89,13.60,12.81,9.90,8.49,6.40,3.61,2.00,2.24,4.12,5.00,7.07,8.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.71,8.06,10.00,12.17,13.34,15.81,17.09,17.09,17.46,17.09,15.81,13.93,11.18,8.94,7.07,6.32,7.00,9.06,12.37,15.52,17.46,19.24,20.10,21.00,20.02,20.10,1.0,3.0
0.00,17.69,14.14,11.31,8.06,6.08,6.71,9.22,12.04,12.81,15.00,16.64,17.00,17.46,16.76,16.49,15.30,12.04,11.05,8.06,6.08,3.16,2.24,3.16,5.00,6.40,7.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.07,8.94,11.70,14.32,16.12,18.11,19.10,20.02,19.03,19.03,18.03,15.03,13.00,10.05,8.54,8.49,9.43,11.70,15.81,18.97,21.19,22.85,24.60,24.70,24.41,22.80,1.0,3.0
0.00,15.52,11.40,8.25,6.08,5.00,6.71,8.25,10.20,12.37,13.60,14.32,14.76,15.26,15.00,14.87,13.45,10.63,8.49,7.07,5.00,3.16,2.24,3.61,5.39,7.28,8.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.83,7.07,9.00,11.18,13.60,14.87,16.16,16.16,16.16,15.23,14.87,13.00,10.30,8.60,6.40,6.32,7.00,9.22,12.37,15.52,17.46,19.24,20.10,21.00,21.02,19.10,1.0,3.0
0.00,16.97,14.87,12.04,8.49,6.71,6.00,7.28,8.94,10.30,12.08,13.60,14.32,14.14,14.04,14.04,12.17,10.20,8.25,6.08,4.00,3.61,3.16,5.00,6.08,8.06,9.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.62,7.07,7.62,8.06,10.05,12.37,14.56,15.81,16.76,16.76,16.76,16.49,14.32,12.37,10.44,8.54,7.81,7.21,9.49,12.37,14.56,17.72,18.97,19.70,20.59,20.25,1.0,3.0
0.00,17.80,15.56,12.73,10.63,7.81,6.32,6.00,7.28,7.62,9.85,11.70,12.37,13.15,14.04,14.00,13.04,11.05,10.20,8.25,6.08,5.10,3.00,2.83,3.00,4.12,5.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.21,8.25,9.00,11.18,12.65,13.93,16.16,17.46,17.46,17.09,17.09,15.81,13.60,12.65,10.77,8.60,8.49,8.06,10.44,13.34,15.30,17.46,18.68,20.25,20.12,20.59,1.0,3.0
0.00,17.69,15.56,12.73,10.63,8.06,7.28,7.00,8.25,9.49,11.70,12.65,13.34,14.14,15.03,15.03,14.04,12.17,10.20,9.22,7.07,6.00,4.12,3.61,4.47,5.10,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.40,7.28,8.00,10.20,11.70,13.93,15.65,16.55,17.46,17.46,17.09,15.23,13.00,12.08,10.30,8.60,7.81,8.94,11.40,13.34,16.28,17.46,19.92,20.62,21.47,20.25,1.0,3.0
0.00,4.24,8.06,11.66,14.76,17.49,18.36,19.42,18.60,18.44,16.28,15.56,12.04,10.00,7.21,4.12,1.41,3.16,5.66,8.49,10.00,12.21,13.04,13.04,13.89,12.53,12.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,20.02,21.10,21.21,20.22,19.42,17.46,14.56,10.77,7.21,3.61,3.61,6.32,10.20,13.15,16.12,18.11,19.24,21.21,20.22,20.40,18.25,15.30,13.15,9.06,5.00,1.0,3.0
0.00,17.49,15.65,13.42,10.30,8.60,7.81,7.62,9.22,9.22,11.18,12.37,13.60,13.93,13.89,14.42,12.81,11.31,9.90,8.49,7.07,5.00,4.12,4.00,4.47,5.00,5.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.81,7.62,9.06,11.05,13.15,14.56,15.52,16.76,17.72,17.72,17.46,16.28,14.32,12.37,11.40,9.85,8.60,9.90,12.21,14.42,15.81,18.03,19.21,20.52,20.52,20.62,1.0,3.0
